               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 112,            0.027751,            0.027581,            0.005694,             0.76312,             0.64396,             0.69794,             0.45314,            0.039351,            0.028798,            0.015174,            0.002674,            0.002674,            0.002674
                 113,            0.027818,            0.027436,           0.0056471,             0.76795,             0.63374,             0.69703,             0.45443,            0.039229,            0.028786,            0.015115,            0.002608,            0.002608,            0.002608
                 114,            0.027629,            0.026718,           0.0052458,             0.77756,             0.63247,             0.70051,             0.45578,            0.039375,            0.028775,            0.014982,            0.002542,            0.002542,            0.002542
                 115,            0.027305,            0.026795,            0.005395,             0.77288,             0.64436,             0.70048,             0.45521,            0.039298,            0.028993,            0.014816,            0.002476,            0.002476,            0.002476
                 116,            0.027641,            0.026883,           0.0054314,             0.77373,             0.64106,             0.70348,             0.45429,            0.039296,            0.028979,             0.01527,             0.00241,             0.00241,             0.00241
                 117,            0.027356,            0.026739,           0.0052086,             0.77629,             0.64203,             0.70235,             0.45558,            0.039345,            0.029221,            0.015336,            0.002344,            0.002344,            0.002344
                 118,            0.027398,            0.027171,           0.0052016,             0.78934,             0.63409,             0.70641,             0.45698,            0.039373,            0.029335,            0.015052,            0.002278,            0.002278,            0.002278
                 119,            0.027369,             0.02643,           0.0052564,             0.77759,             0.64168,             0.70538,             0.45915,            0.039444,            0.029371,            0.015043,            0.002212,            0.002212,            0.002212
                 120,             0.02713,            0.026759,           0.0050863,             0.77394,             0.65465,             0.70411,             0.45717,            0.039394,            0.029247,            0.014825,            0.002146,            0.002146,            0.002146
                 121,            0.026742,            0.026024,           0.0050431,             0.77986,             0.64802,             0.71012,             0.46124,            0.039266,            0.029273,            0.014805,             0.00208,             0.00208,             0.00208
                 122,            0.026788,            0.026146,           0.0052075,              0.7861,              0.6465,             0.71296,              0.4649,            0.039307,            0.029186,            0.014661,            0.002014,            0.002014,            0.002014
                 123,            0.026709,            0.026789,           0.0049003,             0.77286,             0.64245,             0.70939,             0.46033,            0.039311,            0.029291,            0.014993,            0.001948,            0.001948,            0.001948
                 124,             0.02654,            0.026349,           0.0051871,             0.77748,             0.63665,             0.70852,             0.46233,            0.039308,            0.029363,            0.014796,            0.001882,            0.001882,            0.001882
                 125,            0.026555,            0.026316,           0.0051094,             0.76964,             0.64563,             0.70797,             0.46066,            0.039359,            0.029292,            0.014922,            0.001816,            0.001816,            0.001816
                 126,            0.026149,            0.025601,           0.0050413,             0.77596,             0.64235,              0.7073,             0.46053,            0.039314,            0.029234,            0.014975,             0.00175,             0.00175,             0.00175
                 127,            0.026361,            0.026182,           0.0048559,             0.79088,             0.63427,             0.70921,             0.46311,            0.039247,            0.029486,            0.014901,            0.001684,            0.001684,            0.001684
                 128,            0.026458,            0.025836,           0.0051033,             0.78375,             0.63463,             0.70702,             0.46378,            0.039415,            0.029725,            0.015319,            0.001618,            0.001618,            0.001618
                 129,             0.02646,            0.025994,            0.004914,             0.75859,             0.65009,             0.70295,             0.46241,            0.039497,            0.029762,            0.015579,            0.001552,            0.001552,            0.001552
                 130,            0.026204,            0.025918,            0.005149,             0.78998,             0.62999,             0.70762,             0.46587,            0.039517,            0.029723,            0.015471,            0.001486,            0.001486,            0.001486
                 131,            0.026144,            0.025946,           0.0049377,             0.77262,              0.6466,             0.70727,             0.46412,            0.039606,            0.029714,            0.015583,             0.00142,             0.00142,             0.00142
                 132,            0.025883,            0.025533,           0.0046666,             0.78578,             0.63615,             0.70625,             0.46698,            0.039695,             0.02971,            0.015872,            0.001354,            0.001354,            0.001354
                 133,            0.025999,            0.025056,           0.0047167,             0.79687,             0.63698,             0.70786,             0.46709,            0.039698,            0.029718,            0.015861,            0.001288,            0.001288,            0.001288
                 134,            0.025809,            0.025114,           0.0047488,              0.7969,              0.6278,              0.7056,             0.46695,            0.039609,            0.029737,            0.015701,            0.001222,            0.001222,            0.001222
                 135,            0.025413,            0.025094,           0.0046954,             0.76886,             0.64533,             0.70779,             0.46682,            0.039543,             0.02986,            0.015612,            0.001156,            0.001156,            0.001156
                 136,            0.025559,            0.025195,           0.0044433,             0.76329,             0.64515,             0.70743,             0.46712,            0.039521,            0.029998,             0.01553,             0.00109,             0.00109,             0.00109
                 137,            0.025306,            0.025255,            0.004499,             0.76743,              0.6481,             0.70943,             0.46724,              0.0395,            0.029958,            0.015501,            0.001024,            0.001024,            0.001024
                 138,            0.025626,            0.024992,           0.0045786,             0.77598,             0.65201,             0.71111,             0.46791,            0.039637,            0.030068,            0.015458,            0.000958,            0.000958,            0.000958
                 139,            0.025382,            0.025094,           0.0045674,             0.78114,               0.653,             0.71086,             0.47002,            0.039655,            0.029994,            0.015594,            0.000892,            0.000892,            0.000892
                 140,            0.025563,            0.025157,           0.0044302,             0.77244,             0.65461,             0.71091,             0.46875,            0.039679,            0.029901,            0.015683,            0.000826,            0.000826,            0.000826
                 141,            0.025185,            0.024953,           0.0046661,              0.7859,             0.64282,             0.70832,             0.46881,            0.039693,            0.030076,            0.015799,             0.00076,             0.00076,             0.00076
                 142,            0.025102,            0.024933,           0.0045568,             0.77195,             0.64936,             0.70875,             0.46801,            0.039674,            0.030133,            0.015753,            0.000694,            0.000694,            0.000694
                 143,            0.025003,            0.024676,           0.0045973,             0.76806,              0.6521,             0.70763,             0.46886,            0.039681,            0.030144,            0.015824,            0.000628,            0.000628,            0.000628
                 144,            0.024873,            0.024881,           0.0046135,             0.76166,              0.6545,             0.70704,             0.46678,            0.039672,            0.030154,            0.015756,            0.000562,            0.000562,            0.000562
                 145,            0.024735,            0.024709,           0.0045947,             0.76257,             0.64564,             0.70686,             0.46622,            0.039675,             0.03019,            0.015741,            0.000496,            0.000496,            0.000496
                 146,            0.024768,            0.024701,           0.0044123,             0.74929,              0.6599,             0.70815,             0.46711,            0.039666,            0.030208,            0.015796,             0.00043,             0.00043,             0.00043
                 147,            0.025006,            0.024444,           0.0043049,             0.75362,             0.65841,             0.70986,             0.46779,            0.039711,            0.030269,            0.015789,            0.000364,            0.000364,            0.000364
                 148,            0.024489,            0.024711,           0.0044199,             0.75084,             0.66014,             0.70929,             0.46657,            0.039762,            0.030352,             0.01586,            0.000298,            0.000298,            0.000298
                 149,            0.024633,            0.024672,           0.0044144,             0.75989,             0.65653,             0.70788,             0.46606,            0.039777,            0.030394,            0.015907,            0.000232,            0.000232,            0.000232
